sub_county_id,sub_county_name,national_id,initial,occupation,patient_id,gender,date_of_birth,is_regular_smoker,insurance_id,country_id,country_name,county_id,county_name,level_of_education,phone_number_category,phone_number,insurance_status,is_pregnant,site_id,site_name,first_name,last_name,age,middle_name,landmark,program_id,program_name,insurance_type,is_support_group,is_active,is_deleted,tenant_id,created_by,updated_by,updated_at,created_at,has_hypertension,has_diabetes,has_mental_health_issue,on_htn_meds,on_diabetes_meds,on_mh_treatment
15,Lukuyani,21701271631738,C,Visual merchandiser,217012716,F,1990-06-30,False,,KE,Kenya,3,Kakamega,Bachelor's Degree,Family,3802251750,None,True,17,Wamagana Health Centre,Cassandra,Butler,34,,21505 King Grove Suite 500,64425d61-c2c6-4a13-bd7b-c7dbd6fc3e85,Diabetes Care,None,True,False,False,ba589ab5-41e7-4f5c-8033-957457e487a2,Kylie Rogers,Rachel Bailey,2025-04-26 12:55:02,2025-04-26 12:20:03,False,False,False,False,False,False
10,Mathira West,28172759226167,M,Tree surgeon,281727592,M,1985-01-24,False,,KE,Kenya,2,Nyeri,Secondary Education,Work,0577790554,None,False,70,Diani Beach Hospital Limited - Shika Adabu,Manuel,Bennett,40,Richard,15598 Tyler Valley Apt. 588,31b06881-41bd-4fbf-b085-ad9b87ac44b4,Hypertension Management,None,True,True,False,567be2a5-947e-4f44-8780-0f1dd68f1683,Patrick Tapia,Patrick Tapia,2025-04-26 13:42:56,2025-04-26 13:05:34,False,False,False,False,False,False
57,Ganze,49968467322600,S,Chief Strategy Officer,499684673,M,1960-12-09,False,26090898818607,KE,Kenya,7,Kilifi,Bachelor's Degree,Family,9488475554,Active,False,16,Tumutumu PCEA Hospital,Seth,Baker,64,,260 Holloway Village,bd6b2984-3dfe-46ad-b663-a5ff14c3a071,General Wellness,Community-Based,False,True,False,ce108ff3-a38e-4389-a329-7ed719db9d31,Donna Cordova,Donna Cordova,2025-04-26 14:30:00,2025-04-26 14:16:48,False,False,False,False,False,False
28,Nakuru Town East,12426651895252,E,Early years teacher,124266518,F,1954-11-13,False,90011026916675,KE,Kenya,4,Nakuru,Diploma,Personal,1152727738,Active,False,31,Nakuru Level 5 Hospital,Eileen,Koch,70,Patricia,64076 Krause Key,86bdb77c-cbd7-4a7b-b1f5-64778e4c0fec,Hypertension Management,Private,False,False,False,0020b328-3004-41cb-ab30-6e1068aba69a,James Randall,James Randall,2025-04-26 15:48:33,2025-04-26 15:43:30,False,False,False,False,False,False
65,Nyali,90859864451973,S,Logistics and distribution manager,908598644,F,1980-04-24,False,,KE,Kenya,8,Mombasa,Bachelor's Degree,Personal,0023414323,None,False,75,Rabai Sub County Hospital,Shelley,Cannon,45,Crystal,5755 Patricia Streets,6f72534f-6132-4439-ac23-c767d139ea42,Hypertension Management,None,False,True,False,67b89795-cea0-4bb1-aea8-0aedcb822470,Tracey Leonard,Tracey Leonard,2025-04-26 16:58:15,2025-04-26 16:23:38,False,False,False,False,False,False
9,Mathira East,50641065002474,B,"Sales professional, IT",506410650,F,1959-11-15,True,,KE,Kenya,2,Nyeri,Diploma,Work,0846093675,None,False,44,Mirangine Health Centre,Brenda,Smith,65,,7694 Meagan Island Suite 765,be0b8df5-1edf-48d8-895d-bc3ee0eac084,General Wellness,None,True,False,False,663cb775-0b7a-49dd-8f5d-ec905d3d13d7,Michelle Thomas,Phillip Krueger,2025-04-26 17:54:44,2025-04-26 17:17:39,False,False,False,False,False,False
82,Roysambu,86390409436679,B,Health physicist,863904094,M,1987-07-12,True,,KE,Kenya,9,Nairobi,Doctorate,Emergency,9871694555,None,False,46,Ol Joro Orok Medical Clinic,Brian,Sims,37,,44322 Monica Shores,10a437c6-b0df-496f-bd84-830d7c3e0598,Diabetes Care,None,False,True,False,9b4f6ada-d34f-40dc-a26f-dc73c6c1b341,Jason Walter,Jason Walter,2025-04-26 18:36:59,2025-04-26 18:34:23,False,False,False,False,False,False
32,Gilgil,26619346103052,S,"Lecturer, further education",266193461,M,1987-02-15,True,77390041419925,KE,Kenya,4,Nakuru,Bachelor's Degree,Family,6296934721,Active,False,73,Malindi Sub-County Hospital,Steven,Huynh,38,Alison,421 Cooper Causeway,8d5fd07c-fd16-4f04-807d-e5c2057a65e1,Hypertension Management,Private,True,False,False,1e6cccb2-17bd-456d-8c87-9fdd753ecc18,Laura King,Laura King,2025-04-26 19:54:37,2025-04-26 19:45:36,False,False,False,False,False,False
34,Kuresoi North,10544278324331,P,Recruitment consultant,105442783,F,1993-10-21,True,,KE,Kenya,4,Nakuru,Primary Education,Work,6333887000,None,False,12,Karatina Sub-County Hospital,Patricia,George,31,,31985 Juan Dam,c7fc1365-64c1-49a4-81cb-233553a23c88,Diabetes Care,None,False,False,False,f7984701-8bd1-400b-b5f0-9d73426bb7c3,Arthur Garrett,Arthur Garrett,2025-04-26 20:37:32,2025-04-26 20:15:22,False,False,False,False,False,False
49,Buuri,15793530911130,R,Secretary/administrator,157935309,F,1991-03-30,False,,KE,Kenya,6,Meru,Bachelor's Degree,Personal,1851954746,None,False,56,Kangemi Health Centre,Rebecca,Mcbride,34,,3375 Patricia Road Suite 104,92463536-0d2b-4b99-91af-3dfe93740c51,Hypertension Management,None,False,False,False,9a61c6fe-eea2-4ed0-b70c-47a5f12f00d4,Sarah Solis,Sarah Solis,2025-04-26 21:53:45,2025-04-26 21:46:44,True,False,False,False,False,False
