id,name,email,password,role,organisation,site_id,is_active
1,Taylor Berry,taylorberry@gmail.com,^0dWLk7zU6,CHV,Ministry of Health,2,True
2,Jonathan York,jonathanyork@gmail.com,8p4E0V+t%7,CHV,Ministry of Health,3,False
3,Grace Miller,gracemiller@gmail.com,#9Eaf0Up%7,CHV,Ministry of Health,4,False
4,Eric Reese,ericreese@gmail.com,(3_q!MLcvc,Nurse,Ministry of Health,5,False
5,Jessica Hull,jessicahull@gmail.com,56IMbibj%c,Nurse,Ministry of Health,6,True
6,Sandra Smith,sandrasmith@gmail.com,K@82@&vanD,Nurse,Ministry of Health,7,True
7,Stephanie Knight,stephanieknight@gmail.com,#1WZf8JsiB,Doctor,Ministry of Health,8,True
8,Gary Brown,garybrown@gmail.com,%2X1O_i4Zc,Data Officer,Ministry of Health,9,False
9,Paula Smith,paulasmith@gmail.com,!2GUCGue*N,Lab Technician,Ministry of Health,10,True
10,Troy Meyers,troymeyers@gmail.com,vE*1Sw&rx^,Pharmacist,Ministry of Health,11,True
11,Tracy Guerrero,tracyguerrero@gmail.com,6OrKD#@u%G,CHV,Ministry of Health,12,False
12,Anthony French,anthonyfrench@gmail.com,!bLDq+Ug#6,CHV,Ministry of Health,13,False
13,Bianca Jackson,biancajackson@gmail.com,L!Vm*4Z4ld,CHV,Ministry of Health,14,False
14,Erica Oconnell,ericaoconnell@gmail.com,$(SIdSfu$0,CHV,Ministry of Health,15,False
15,Angela Smith,angelasmith@gmail.com,dJ9)_8Ln0@,Nurse,Faith-Based Organization,16,False
16,Rachel Bailey,rachelbailey@gmail.com,(!8HiR4ga8,Nurse,Ministry of Health,17,False
17,Christopher Livingston Jr.,christopherlivingstonjr.@gmail.com,6^r4*$Rn#G,Nurse,Ministry of Health,18,True
18,Jennifer Burgess,jenniferburgess@gmail.com,C*3qF4Ydr^,Doctor,Ministry of Health,19,False
19,Jimmy Lee,jimmylee@gmail.com,)dGkpL0D^4,Data Officer,Ministry of Health,20,True
20,Scott Burns,scottburns@gmail.com,$gg6CUPo9U,Lab Technician,Ministry of Health,21,False
21,Joseph Mendoza,josephmendoza@gmail.com,5T1gO)9p&+,Pharmacist,Ministry of Health,22,True
22,Allison Gibson,allisongibson@gmail.com,qzeFYGdR#6,CHV,Ministry of Health,23,True
23,Gabriela Randolph,gabrielarandolph@gmail.com,G5$FZeTd(B,CHV,Ministry of Health,24,False
24,Michele Mullins,michelemullins@gmail.com,PJ%F5LniR$,CHV,Ministry of Health,25,True
25,Theresa Lamb,theresalamb@gmail.com,@s9wO8cO3Q,CHV,Ministry of Health,26,True
26,Kara Fisher,karafisher@gmail.com,%q5wJIDg+0,Nurse,Ministry of Health,27,True
27,Richard Jackson,richardjackson@gmail.com,%3PlL0ue9y,Nurse,Ministry of Health,28,True
28,Laura Alexander MD,lauraalexandermd@gmail.com,$y8LyW(bui,Nurse,Ministry of Health,29,True
29,Kimberly Romero,kimberlyromero@gmail.com,_jPblfuD4N,Doctor,Ministry of Health,30,False
30,James Randall,jamesrandall@gmail.com,%5VCv8kR*b,Data Officer,Ministry of Health,31,False
31,Larry Hunt Jr.,larryhuntjr.@gmail.com,eJ_!5AMe3r,Lab Technician,Ministry of Health,32,False
32,Tracy Coleman,tracycoleman@gmail.com,&32qS%th&I,Pharmacist,Ministry of Health,33,False
33,Keith Melendez,keithmelendez@gmail.com,S$nn2TMj!7,CHV,Ministry of Health,34,False
34,Terry Newman,terrynewman@gmail.com,ixWENY7c!1,CHV,Ministry of Health,35,False
35,Carla Brown,carlabrown@gmail.com,E7WZw$9Z^e,CHV,Ministry of Health,36,True
36,Eugene Kirk,eugenekirk@gmail.com,c4Vw!QFN%t,CHV,Ministry of Health,37,False
37,Colin Prince,colinprince@gmail.com,Sh(M^Ruw)8,Nurse,Ministry of Health,38,False
38,Eric Garner,ericgarner@gmail.com,@3)E^dk^wi,Nurse,Ministry of Health,39,True
39,Julie Kerr,juliekerr@gmail.com,!*1WJvb#_!,Nurse,Ministry of Health,40,False
40,Phyllis Austin,phyllisaustin@gmail.com,miRexChd(9,Doctor,Ministry of Health,41,False
41,Michael Rodriguez,michaelrodriguez@gmail.com,Q^iBM6Ng9f,Data Officer,Ministry of Health,42,True
42,Kyle Collins,kylecollins@gmail.com,931^oNRn*O,Lab Technician,Ministry of Health,43,False
43,Angela Thomas,angelathomas@gmail.com,uy%y9Dx)o&,Pharmacist,Ministry of Health,44,False
44,Larry Sullivan,larrysullivan@gmail.com,i*8OYIe$^*,CHV,Private Practice,45,True
45,Marco Davis,marcodavis@gmail.com,k@aO78Ypw#,CHV,Private Practice,46,False
46,Jessica Johnson,jessicajohnson@gmail.com,AeV)eO(y#8,CHV,Private Practice,47,True
47,Jenna Simpson,jennasimpson@gmail.com,&9%V)VlViY,CHV,Ministry of Health,48,False
48,Danielle Wong,daniellewong@gmail.com,)(0R#WJcJ1,Nurse,Ministry of Health,49,True
